CHANGES,DISTANCE,CAUTIONS,SPEED,RESTRICTED,PLAYOFF,NEWGEN
14,220.0,5,134.9,1,0,0
11,150.0,1,166.105,1,0,0
8,150.0,1,170.994,1,0,0
24,522.5,9,141.11,1,0,0
25,400.5,9,134.861,0,0,0
16,400.0,3,152.753,0,0,0
20,316.0,12,94.407,0,0,0
11,400.24,10,115.815,0,0,0
17,284.13,11,104.984,0,0,0
20,607.5,8,135.042,0,0,0
14,312.0,7,125.315,0,0,0
21,266.5,17,80.338,0,0,0
21,500.5,5,142.966,0,0,0
14,263.0,7,77.378,0,0,0
17,400.5,6,127.751,0,0,0
57,508.06,8,146.933,1,0,0
10,325.0,6,134.467,0,0,0
12,350.0,8,122.879,0,0,0
11,402.5,9,123.162,0,0,0
13,400.5,8,133.636,0,0,0
3,45.305,4,57.388,0,0,0
6,74.62,5,65.68,0,0,0
29,501.0,10,137.292,0,0,0
21,400.5,11,121.835,0,0,0
22,318.46,11,100.372,0,0,0
12,322.0,9,124.712,0,0,0
10,312.0,5,144.463,0,0,0
13,231.4,4,89.39,0,0,0
15,311.0,4,124.359,0,0,0
15,311.0,7,110.994,0,0,0
35,410.0,6,153.766,1,0,0
18,501.32,7,132.256,0,1,0
19,300.0,3,101.868,0,1,0
14,266.5,5,95.911,0,1,0
20,402.0,7,131.42,0,1,0
58,532.0,13,129.774,1,1,0
17,252.88,9,76.948,0,1,0
17,400.5,6,138.329,0,1,0
23,501.0,8,135.263,0,1,0
20,263.0,12,71.581,0,1,0
19,312.0,4,112.096,0,1,0
13,124.6,4,83.845,0,0,0
9,150.0,0,191.966,1,0,0
14,157.5,2,158.071,1,0,0
22,500.0,7,144.416,1,0,0
12,252.7,8,84.452,0,0,0
20,400.5,6,124.669,0,0,0
27,400.5,6,139.615,0,0,0
22,312.0,7,103.808,0,0,0
11,500.5,5,144.595,0,0,0
5,126.5,10,46.313,0,0,0
18,263.0,15,67.316,0,0,0
20,300.0,5,96.282,0,0,0
35,508.06,7,147.62,1,0,0
18,400.5,7,129.647,0,0,0
19,400.24,6,123.562,0,0,0
10,400.0,7,120.05,0,0,0
11,185.0,6,59.024,0,0,0
23,600.0,4,150.785,0,0,0
